
> @imagora/web@0.1.0 dev
> next dev -p 3100

▲ Next.js 16.3.0-canary.48 (Turbopack)
- Local:         http://localhost:3100
- Network:       http://192.168.0.102:3100
✓ Ready in 347ms

 GET / 200 in 1792ms (next.js: 1641ms, application-code: 151ms)
 GET / 200 in 45ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
○ Compiling /admin ...
 GET /admin 200 in 3.7s (next.js: 3.6s, application-code: 68ms)
 GET /generate 200 in 383ms (next.js: 331ms, application-code: 52ms)
 GET /history 200 in 380ms (next.js: 337ms, application-code: 43ms)
 GET /favorites 200 in 252ms (next.js: 209ms, application-code: 42ms)
 GET /pricing 200 in 243ms (next.js: 207ms, application-code: 37ms)
 GET /generate 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET / 200 in 50ms (next.js: 3ms, application-code: 47ms)
 GET /generate 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET /generate 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET /login 200 in 427ms (next.js: 385ms, application-code: 42ms)
 GET /generate 200 in 21ms (next.js: 1915µs, application-code: 19ms)
 GET /login 200 in 24ms (next.js: 3ms, application-code: 21ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET /generate 200 in 25ms (next.js: 2ms, application-code: 23ms)
 GET / 200 in 3.2s (next.js: 3.1s, application-code: 43ms)
 GET /generate 200 in 24ms (next.js: 3ms, application-code: 20ms)
 GET / 200 in 52ms (next.js: 2ms, application-code: 50ms)
 GET /generate 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET /generate 200 in 30ms (next.js: 3ms, application-code: 27ms)
 GET / 200 in 49ms (next.js: 3ms, application-code: 46ms)
 GET /generate 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 51ms (next.js: 3ms, application-code: 48ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET /generate 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET / 200 in 46ms (next.js: 2ms, application-code: 44ms)
 GET /generate 200 in 35ms (next.js: 3ms, application-code: 31ms)
 GET / 200 in 46ms (next.js: 3ms, application-code: 43ms)
 GET /generate 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 42ms)
 GET /generate 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET /generate 200 in 26ms (next.js: 2ms, application-code: 23ms)
 GET / 200 in 47ms (next.js: 2ms, application-code: 45ms)
 GET /generate 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET /generate 200 in 26ms (next.js: 1989µs, application-code: 24ms)
 GET / 200 in 56ms (next.js: 3ms, application-code: 53ms)
 GET /generate 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET / 200 in 47ms (next.js: 3ms, application-code: 44ms)
 GET /generate 200 in 28ms (next.js: 3ms, application-code: 26ms)
 GET / 200 in 51ms (next.js: 2ms, application-code: 48ms)
 GET /generate 200 in 26ms (next.js: 1850µs, application-code: 24ms)
 GET / 200 in 53ms (next.js: 2ms, application-code: 50ms)
 GET /generate 200 in 28ms (next.js: 1917µs, application-code: 26ms)
 GET / 200 in 47ms (next.js: 2ms, application-code: 45ms)
 GET /generate 200 in 27ms (next.js: 3ms, application-code: 25ms)
 GET / 200 in 49ms (next.js: 3ms, application-code: 47ms)
 GET /generate 200 in 28ms (next.js: 2ms, application-code: 25ms)
 GET / 200 in 51ms (next.js: 2ms, application-code: 48ms)
 GET /generate 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET / 200 in 47ms (next.js: 3ms, application-code: 45ms)
 GET /generate 200 in 31ms (next.js: 2ms, application-code: 29ms)
 GET / 200 in 64ms (next.js: 3ms, application-code: 61ms)
 GET /generate 200 in 26ms (next.js: 2ms, application-code: 23ms)
 GET / 200 in 52ms (next.js: 1942µs, application-code: 50ms)
 GET /generate 200 in 25ms (next.js: 2ms, application-code: 23ms)
 GET / 200 in 50ms (next.js: 2ms, application-code: 48ms)
 GET /generate 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 66ms (next.js: 2ms, application-code: 64ms)
 GET /generate 200 in 26ms (next.js: 1911µs, application-code: 24ms)
 GET / 200 in 54ms (next.js: 2ms, application-code: 52ms)
 GET /generate 200 in 30ms (next.js: 3ms, application-code: 27ms)
 GET / 200 in 60ms (next.js: 3ms, application-code: 57ms)
 GET / 200 in 156ms (next.js: 107ms, application-code: 49ms)
 GET /generate 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET / 200 in 47ms (next.js: 2ms, application-code: 45ms)
 GET /generate 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET / 200 in 49ms (next.js: 2ms, application-code: 47ms)
 GET /generate 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 59ms)
 GET /generate 200 in 28ms (next.js: 2ms, application-code: 26ms)
